GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360.sdk.plugins:openapi-controllers,io.zenwave360.sdk.plugins,OpenAPIControllersHelpers,8,66,2,4,2,16,2,6,0,5
io.zenwave360.sdk.plugins:openapi-controllers,io.zenwave360.sdk.plugins,OpenAPIControllersTemplates,7,86,2,2,1,12,2,3,0,3
io.zenwave360.sdk.plugins:openapi-controllers,io.zenwave360.sdk.plugins,OpenAPIControllersPlugin,0,67,0,2,0,8,0,3,0,2
io.zenwave360.sdk.plugins:openapi-controllers,io.zenwave360.sdk.plugins,OpenAPIControllersGenerator,78,1113,20,74,11,162,17,53,0,23
io.zenwave360.sdk.plugins:openapi-controllers,io.zenwave360.sdk.plugins,DummyDataFromSchemasProcessor,0,281,0,4,0,50,0,9,0,7
