GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360.sdk.plugins:avro-schema-compiler,io.zenwave360.sdk.plugins,AvroSchemaGeneratorPlugin,0,16,0,0,0,3,0,1,0,1
io.zenwave360.sdk.plugins:avro-schema-compiler,io.zenwave360.sdk.plugins,AvroCompilerProperties,25,70,1,1,6,21,1,2,0,2
io.zenwave360.sdk.plugins:avro-schema-compiler,io.zenwave360.sdk.plugins,AvroSchemaLoader,281,661,48,76,51,125,42,46,4,22
io.zenwave360.sdk.plugins:avro-schema-compiler,io.zenwave360.sdk.plugins,AvroSchemaGenerator,50,232,5,13,16,58,7,12,2,8
