GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.templating,CustomHandlebarsHelpers,53,162,9,13,9,31,11,16,3,13
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.options,ProgrammingStyle,15,0,0,0,2,0,1,0,1,0
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.options,PersistenceType,15,0,0,0,2,0,1,0,1,0
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.parsers,Model,0,22,0,0,0,7,0,4,0,4
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.parsers,GraphQLParser,5,112,0,0,2,15,1,2,1,2
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.parsers,DefaultYamlParser,7,57,0,0,2,14,1,5,1,5
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.parsers,JDLParser,8,64,0,0,2,16,1,7,1,7
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.parsers,Parser,19,18,1,1,5,2,1,1,0,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.plugins,ForkPluginGenerator,33,925,9,53,7,180,8,43,0,20
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.plugins,ForkPluginConfiguration,0,12,0,0,0,3,0,1,0,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.options.asyncapi,AsyncapiRoleType,0,15,0,0,0,2,0,1,0,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.options.asyncapi,AsyncapiOperationType,0,15,0,0,0,2,0,1,0,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.formatters,JavaFormatter,124,0,12,0,22,0,12,0,6,0
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.doc,PluginAnnotationProcessor,195,0,16,0,46,0,12,0,4,0
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,AbstractOpenAPIGenerator.OperationType,0,45,0,0,0,2,0,1,0,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,JDLEntitiesToSchemasConverter,107,385,14,42,21,71,15,21,1,7
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,AbstractAsyncapiGenerator,24,155,2,24,4,29,5,18,3,7
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,JDLEntitiesToAvroConverter,100,387,13,37,14,58,14,20,1,8
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,AbstractAsyncapiGenerator.OperationRoleType,5,59,1,7,2,9,2,6,1,3
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,AbstractOpenAPIGenerator,21,138,4,18,4,22,6,13,2,6
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,AbstractJDLGenerator,0,6,0,0,0,2,0,1,0,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.generators,Generator,28,69,2,10,7,12,3,5,1,1
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,AsyncApiProcessor.SchemaFormatType,226,0,12,0,21,0,14,0,8,0
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,JDLWithOpenApiProcessor,23,357,0,20,8,73,4,19,4,9
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,JDLWithDummyDataProcessor,0,292,0,4,0,51,0,9,0,7
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,OpenApiProcessor,2,386,8,34,0,77,8,23,0,10
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,AsyncApiProcessor,16,381,8,42,3,79,8,25,0,8
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,AbstractBaseProcessor,8,70,1,7,0,19,1,9,0,6
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.processors,JDLProcessor,1,365,3,15,0,56,3,15,0,9
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.utils,Maps,3,72,1,7,0,17,2,7,1,4
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.utils,NamingUtils,18,62,2,4,4,13,4,6,2,5
io.github.zenwave360.zenwave-code-generator:zenwave-code-generator-cli,io.zenwave360.generator.utils,JSONPath,3,93,1,3,1,18,2,5,1,4
