GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.zenwave360.zenwave-sdk.plugins:jdl-backend-application-default,io.zenwave360.sdk.plugins,JDLBackendApplicationDefaultHelpers,117,491,24,46,20,93,22,28,0,15
io.github.zenwave360.zenwave-sdk.plugins:jdl-backend-application-default,io.zenwave360.sdk.plugins,JDLBackendApplicationDefaultGenerator,60,1282,12,62,4,106,12,49,3,21
io.github.zenwave360.zenwave-sdk.plugins:jdl-backend-application-default,io.zenwave360.sdk.plugins,JDLBackendApplicationDefaultJpaHelpers,7,120,6,10,0,19,4,8,0,4
io.github.zenwave360.zenwave-sdk.plugins:jdl-backend-application-default,io.zenwave360.sdk.plugins,JDLBackendApplicationDefaultPlugin,5,35,1,1,1,5,1,2,0,2
