GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.zenwave360.sdk.plugins:zdl-to-asyncapi,io.zenwave360.sdk.plugins,ZDLToAsyncAPIPlugin,36,0,2,0,6,0,3,0,2,0
io.zenwave360.sdk.plugins:zdl-to-asyncapi,io.zenwave360.sdk.plugins,ZDLToAsyncAPIGenerator,18,1382,17,63,6,218,17,46,0,23
io.zenwave360.sdk.plugins:zdl-to-asyncapi,io.zenwave360.sdk.plugins,ZDLToAsyncAPIGenerator.SchemaFormat,0,15,0,0,0,2,0,1,0,1
